config,image,keyIdx,entropy,rH,rV,rD,r_avg,npcr,uaci
ECA,Bell_pepper_512,1,7.999297199739348,-0.0033718086050919774,-0.006177997939371095,-3.01989470215767e-05,0.0031933351638282165,99.59576924641927,33.486209944182754
ECA,Bell_pepper_512,2,7.999238969462563,-0.00021898726579296177,-0.004976475494852564,0.0011676321655875825,0.002121031642077703,99.60619608561198,33.457411223766854
ECA,Bell_pepper_512,3,7.999290919467977,0.008532581500964666,0.0005842108934300106,0.0002748621874994455,0.003130551527298041,99.61153666178386,33.465100955339814
ECA,Bell_pepper_512,4,7.999208291330043,0.002356853663406345,-0.0023517564661614254,0.0074279039887928675,0.004045504706120213,99.60784912109375,33.45623988731234
ECA,Bell_pepper_512,5,7.999248656351128,0.006904188408679983,0.003401646525652384,-0.003817864391038013,0.004707899775123461,99.60962931315105,33.44012690525429
ECA,Bell_pepper_512,6,7.9992937048108255,-0.0008413760727409101,-0.0002997199259556378,0.0008538342378725238,0.0006649767455230239,99.61751302083333,33.45929713031045
ECA,Bell_pepper_512,7,7.999263783828734,0.004699616333426583,-0.004952126559183021,0.006777049183686035,0.00547626402543188,99.6063232421875,33.45655802807777
ECA,Bell_pepper_512,8,7.999349765224127,0.000994544456934374,0.003469982563124962,-0.005609689094718084,0.0033580720382591404,99.61229960123698,33.48141240138633
ECA,Bell_pepper_512,9,7.999241983023144,0.01119420903477288,0.000670071709971921,-0.00011925421372932004,0.0039945116528247076,99.60721333821614,33.44900592479831
ECA,Bell_pepper_512,10,7.99927682536141,0.0037957567598994007,-0.0009485562447802531,0.009668004825004621,0.0048041059432280915,99.60873921712239,33.427978216433054
ECA,Bird_512,1,7.999301658232246,3.489407246605632e-05,0.0065522762512429085,0.012686098478417505,0.006424422934042156,99.6050516764323,33.46579707525914
ECA,Bird_512,2,7.999271893050353,-0.002101810618523816,0.00033210854419582725,-0.003773089650961204,0.0020690029378936155,99.60962931315105,33.43673207401451
ECA,Bird_512,3,7.999276081834778,-0.015710765607933986,-0.000209714421536486,0.009394001404157743,0.008438160477876072,99.609375,33.4533611621732
ECA,Bird_512,4,7.999302546445198,-0.0038698518656136265,0.0017133078987540944,-0.011895749893040328,0.005826303219136016,99.60441589355469,33.474562401865036
ECA,Bird_512,5,7.999257338298874,0.006949246927660576,-0.005365749810142349,0.0019647175847963493,0.004759904774199758,99.61128234863281,33.457659054425804
ECA,Bird_512,6,7.9993296775601905,-0.0021278435280486616,0.00153464547338794,0.006289400229129826,0.003317296410188809,99.62183634440105,33.53108574362363
ECA,Bird_512,7,7.999279186421887,0.003365760662778454,0.0049398344177020055,-0.0005131358461324759,0.002939576975537645,99.60594177246094,33.40401244319342
ECA,Bird_512,8,7.9993176725263595,0.005951595724171242,-0.017368763661028564,-0.00044821807553632005,0.007922859153578708,99.60734049479167,33.45743715373519
ECA,Bird_512,9,7.99926342015608,-0.0028026660777512786,0.013858072961774026,0.0002493568433083078,0.005636698627611204,99.60975646972656,33.47671359193092
ECA,Bird_512,10,7.999294517135469,-0.003964870965620985,0.0048217676116919265,-0.007838057623630762,0.005541565400314558,99.6228535970052,33.472676495321444
ECA,Mountain_512,1,7.999274289667255,-0.008551331135744432,0.004634284253966945,-9.993693993926601e-05,0.004428517443216881,99.61191813151042,33.366449892131335
ECA,Mountain_512,2,7.9993213654748,-0.004143530123723778,0.003435994698614619,0.0038732946601430624,0.0038176064941604863,99.60823059082031,33.4851862090865
ECA,Mountain_512,3,7.999260282612138,0.0031983309035145974,0.006585126305531936,-0.010777973294032947,0.00685381016769316,99.61039225260417,33.44706466774535
ECA,Mountain_512,4,7.999265114732246,0.005631034291515483,0.003498674615579707,-0.006469210613136306,0.005199639840077166,99.60301717122395,33.39084400850184
ECA,Mountain_512,5,7.999241628920589,0.0030606486738294406,-0.009177520951413788,-0.0034708692676289877,0.0052363462976240715,99.6203104654948,33.47340851827385
ECA,Mountain_512,6,7.999298038356038,0.0005716499534454961,-0.000535110352120749,0.0013837276733749445,0.0008301626596470633,99.60962931315105,33.44616459865196
ECA,Mountain_512,7,7.999247834226995,0.0058893957370903275,0.0015856809148956524,-0.0002669787529579577,0.0025806851349813122,99.60085550944011,33.51467955346201
ECA,Mountain_512,8,7.9992707517245805,-0.007884495558097103,0.001987512838678712,-0.004469376080279085,0.004780461492351634,99.6063232421875,33.422878489774824
ECA,Mountain_512,9,7.999278336279018,-0.0029526745506545347,-0.00028347510468570487,0.003524106092863546,0.002253418582734595,99.61280822753906,33.53489744896982
ECA,Mountain_512,10,7.999284801154921,0.002682403422777416,-0.007130451268568928,-0.006117478777781214,0.0053101111563758525,99.61433410644531,33.443000145207826
NoECA,Bell_pepper_512,1,7.999290974252098,-0.0036110725763053796,0.002245696982431872,0.006285855320639582,0.004047541626458945,99.59729512532552,33.47369524388532
NoECA,Bell_pepper_512,2,7.999389908165799,0.0008435386750004435,0.005292814986608947,0.0004694264183210577,0.002201926693310149,99.60835774739583,33.44404731700623
NoECA,Bell_pepper_512,3,7.999364241367597,-0.0012043462779906446,-0.011873088492579426,-0.006726438213279304,0.006601290994616458,99.59780375162761,33.4834219739328
NoECA,Bell_pepper_512,4,7.999272167401628,0.006610120877135322,-0.009330218867508481,0.006717714215122528,0.007552684653255443,99.62323506673177,33.42904782762714
