image,run_index,encrypt_ms,decrypt_ms,keyseed_ms,cipherstage_enc_ms
Lena,14,1926.194,519.075,1396.732,529.462
Lena,15,1961.129,545.836,1411.367,549.761
Lena,16,1979.784,517.367,1451.850,527.934
Lena,17,1992.229,517.277,1451.041,541.188
Lena,18,1980.304,532.503,1447.685,532.619
Lena,19,1981.764,546.756,1439.652,542.112
Monarch,0,1911.007,521.278,1399.647,511.360
Monarch,1,1901.939,503.873,1400.661,501.278
Monarch,2,1909.965,490.183,1402.930,507.035
Monarch,3,1931.371,504.177,1424.008,507.363
Monarch,4,1904.592,495.085,1426.724,477.868
Monarch,5,1947.151,498.617,1428.684,518.467
Monarch,6,2045.061,524.153,1502.473,542.588
Monarch,7,1864.152,489.912,1362.031,502.121
Monarch,8,1896.041,527.072,1386.929,509.112
Monarch,9,1939.782,501.399,1452.670,487.112
Monarch,10,1908.229,492.266,1405.019,503.209
Monarch,11,1896.709,509.257,1405.935,490.775
Monarch,12,1901.225,507.482,1387.762,513.463
Monarch,13,1917.403,490.436,1421.804,495.600
Monarch,14,1985.734,519.220,1462.400,523.334
Monarch,15,1881.473,501.497,1391.418,490.055
Monarch,16,2001.886,522.634,1473.356,528.530
Monarch,17,1957.773,524.289,1442.175,515.599
Monarch,18,2050.999,558.591,1487.739,563.260
Monarch,19,1976.034,514.666,1466.711,509.323
Pepper,0,1943.291,531.064,1413.272,530.020
Pepper,1,1900.692,518.821,1391.593,509.099
Pepper,2,2007.574,511.855,1466.390,541.184
Pepper,3,1964.030,510.212,1425.016,539.013
Pepper,4,1933.997,527.013,1412.036,521.960
Pepper,5,1945.146,499.263,1443.431,501.715
Pepper,6,1887.551,519.077,1387.825,499.726
Pepper,7,1910.060,513.391,1377.513,532.547
Pepper,8,1988.737,516.868,1433.797,554.939
Pepper,9,1919.029,491.613,1408.591,510.438
Pepper,10,1849.667,491.357,1361.420,488.247
Pepper,11,1902.128,518.749,1389.881,512.247
Pepper,12,1904.403,522.233,1380.111,524.292
Pepper,13,1968.938,512.314,1426.503,542.435
Pepper,14,1907.489,525.283,1388.675,518.814
Pepper,15,1882.168,506.069,1372.453,509.715
Pepper,16,1980.561,545.441,1449.257,531.304
Pepper,17,2043.942,519.093,1516.579,527.364
Pepper,18,1932.068,537.989,1405.814,526.254
Pepper,19,1916.311,526.108,1408.076,508.235
Sailboat,0,1921.454,501.295,1399.294,522.160
Sailboat,1,1939.279,500.739,1449.883,489.396
Sailboat,2,1923.877,496.047,1420.118,503.759
Sailboat,3,2007.768,515.040,1469.915,537.854
Sailboat,4,1887.953,490.278,1392.727,495.226
Sailboat,5,1919.190,501.277,1430.170,489.020
Sailboat,6,1952.050,481.937,1463.603,488.447
Sailboat,7,1949.279,515.538,1428.086,521.193
Sailboat,8,1883.962,488.153,1392.911,491.051
Sailboat,9,1859.238,491.002,1375.734,483.504
Sailboat,10,1958.196,492.943,1434.808,523.388
Sailboat,11,1890.558,516.098,1395.683,494.875
Sailboat,12,1890.659,489.086,1393.527,497.132
Sailboat,13,1943.885,526.599,1406.828,537.058
Sailboat,14,1916.768,495.321,1426.780,489.988
Sailboat,15,1867.275,481.708,1376.863,490.412
Sailboat,16,1977.907,496.573,1456.579,521.328
Sailboat,17,1891.508,507.796,1374.221,517.288
Sailboat,18,1952.988,500.254,1424.329,528.659
Sailboat,19,1883.294,509.620,1395.923,487.370
Tiffany,0,1980.954,549.928,1443.238,537.716
Tiffany,1,1975.897,560.161,1444.685,531.212
Tiffany,2,2060.408,541.359,1496.508,563.900
Tiffany,3,1989.615,548.086,1458.718,530.897
Tiffany,4,1958.299,556.600,1442.248,516.051
Tiffany,5,1904.027,524.140,1377.845,526.182
Tiffany,6,1995.265,538.340,1441.028,554.237
Tiffany,7,1907.141,509.205,1385.062,522.079
Tiffany,8,1928.287,533.788,1377.452,550.836
Tiffany,9,1907.074,504.990,1413.976,493.098
Tiffany,10,1897.758,506.255,1391.997,505.761
Tiffany,11,1898.409,528.109,1391.506,506.903
Tiffany,12,1992.360,557.912,1449.684,542.677
Tiffany,13,1958.685,550.637,1426.777,531.908
Tiffany,14,2034.161,513.583,1504.672,529.489
Tiffany,15,1892.955,535.468,1370.371,522.584
Tiffany,16,1924.994,535.733,1396.749,528.245
Tiffany,17,1887.821,508.285,1370.736,517.085
Tiffany,18,1952.276,536.884,1412.896,539.380
Tiffany,19,1906.521,520.499,1402.173,504.348
