image,keyIdx,entropy_avg,r_avg,NPCR_pct,UACI_pct
Airplane,1,7.999341825654916,0.0040164282835800725,99.60835774739583,33.46954445433772
Airplane,2,7.999336924851371,0.005816017817878757,99.6063232421875,33.47826689676522
Airplane,3,7.99932067165183,0.00595796979169937,99.61001078287761,33.45034530739379
Airplane,4,7.999323640843933,0.007551132118327439,99.60212707519531,33.42711405037275
Airplane,5,7.999255092325707,0.005383143548067525,99.60988362630208,33.42091030544705
Airplane,6,7.999250034558313,0.002015961944834149,99.61891174316406,33.44454447428385
Airplane,7,7.999283953308397,0.0020125291381432706,99.62158203125,33.43819163204019
Airplane,8,7.999286309573145,0.003936374645277369,99.603271484375,33.46896751254213
Airplane,9,7.999336884077814,0.003511142184780105,99.60556030273438,33.50123187295752
Airplane,10,7.999297161144358,0.009841076645310032,99.60378011067708,33.474346983666514
Baboon,1,7.999286161670352,0.004325219035890567,99.60772196451823,33.475159289790135
Baboon,2,7.999245008041268,0.005163971289417831,99.61268107096355,33.437596240074804
Baboon,3,7.9992702046837065,0.0021222444773790557,99.59907531738281,33.4552081737643
Baboon,4,7.999294650062531,0.0024761102444944647,99.59678649902344,33.47519569147646
Baboon,5,7.9992962855504315,0.004273527911587964,99.60848490397136,33.481050877789265
Baboon,6,7.999271299579277,0.005490773548987623,99.61522420247395,33.45713596717984
Baboon,7,7.999286728004257,0.005837975464344552,99.61026509602864,33.46322003532858
Baboon,8,7.9993430988729886,0.004690517660411005,99.61903889973958,33.48716835570491
Baboon,9,7.999291267591912,0.002509695774330701,99.60428873697917,33.44807693381715
Baboon,10,7.999298288871688,0.003884572493701713,99.6198018391927,33.474722968207466
Barbara,1,7.99926923706987,0.0020407362146093637,99.61611429850261,33.46126830655765
Barbara,2,7.999303631657689,0.0074423336955501485,99.603271484375,33.43468011594286
Barbara,3,7.999301027396576,0.0048103103115959755,99.60912068684895,33.45228855905969
Barbara,4,7.999256567909541,0.006446235777987486,99.62132771809895,33.504028818965736
Barbara,5,7.999287177869564,0.0068839989161365205,99.61929321289062,33.49854861988741
Barbara,6,7.999311547466853,0.003208946110453793,99.61624145507812,33.44177595151016
Barbara,7,7.999280940543614,0.0031014346528969784,99.61255391438802,33.45718134462444
Barbara,8,7.999317465039657,0.011527140586396959,99.61280822753906,33.46622890896268
Barbara,9,7.999306579901525,0.005585098290219693,99.60212707519531,33.44333972806245
Barbara,10,7.999230858571127,0.0017839199205048825,99.60772196451823,33.48590227513532
Boats,1,7.99929310937646,0.005890341114254335,99.61738586425781,33.46364937576593
Boats,2,7.999344882614468,0.008314906632300143,99.60619608561198,33.45078013301675
Boats,3,7.99932859986869,0.0038272306832726082,99.60950215657552,33.44336964725669
Boats,4,7.999312778739249,0.002431069525054324,99.5892842610677,33.4469584546058
Boats,5,7.9992975473219765,0.004520515373869505,99.61280822753906,33.42761120765038
Boats,6,7.999260393147938,0.0033078394240370844,99.60187276204427,33.469016879212624
Boats,7,7.999320487817953,0.0010579555968349738,99.60352579752605,33.4881217806947
Boats,8,7.999260312768176,0.004522249877004197,99.60098266601562,33.47093021168428
Boats,9,7.999278597269509,0.0022332143334661274,99.6075948079427,33.43317168989992
