config,image,keyIdx,entropy,rH,rV,rD,r_avg,npcr,uaci
FullHierarchy,Bell_pepper_512,1,7.999297199739348,0.020299602428913818,0.005967013162895209,-0.006305128862947328,0.010857248151585452,99.59576924641927,33.486209944182754
FullHierarchy,Bell_pepper_512,2,7.999238969462563,0.00038151946079270985,0.008859942512291429,-0.012688423355335128,0.007309961776139756,99.60619608561198,33.457411223766854
FullHierarchy,Bell_pepper_512,3,7.999290919467977,-0.0023062383574365204,-0.004354082644390317,-0.0012684401115685116,0.0026429203711317833,99.61153666178386,33.465100955339814
FullHierarchy,Bell_pepper_512,4,7.999208291330043,0.005301017065394979,-0.006357127838350109,0.006893449290573987,0.006183864731439692,99.60784912109375,33.45623988731234
FullHierarchy,Bell_pepper_512,5,7.999248656351128,-0.004318432876487706,-0.0022266821737228428,-0.011224592289960278,0.005923235780056942,99.60962931315105,33.44012690525429
FullHierarchy,Bell_pepper_512,6,7.9992937048108255,-0.004774483225249246,0.009214309199528571,0.0016031517064480575,0.005197314710408625,99.61751302083333,33.45929713031045
FullHierarchy,Bell_pepper_512,7,7.999263783828734,-0.005524305381620316,0.00041392555964078786,0.008041190175276726,0.004659807038845943,99.6063232421875,33.45655802807777
FullHierarchy,Bell_pepper_512,8,7.999349765224127,-0.005973952626435546,0.001992338256981692,0.0021975350470143534,0.0033879419768105302,99.61229960123698,33.48141240138633
FullHierarchy,Bell_pepper_512,9,7.999241983023144,0.00375122389082645,-0.005692522524557827,-0.0020814255769152122,0.0038417239974331634,99.60721333821614,33.44900592479831
FullHierarchy,Bell_pepper_512,10,7.99927682536141,-0.005539262663104027,0.0023790601589646554,0.011422935419720073,0.006447086080596252,99.60873921712239,33.427978216433054
FullHierarchy,Bird_512,1,7.999301658232246,0.004451532427295486,0.009615354859021505,0.001508703860365712,0.005191863715560901,99.6050516764323,33.46579707525914
FullHierarchy,Bird_512,2,7.999271893050353,-0.000565019439770793,0.0023351532814350237,0.004789807132038622,0.0025633266177481464,99.60962931315105,33.43673207401451
FullHierarchy,Bird_512,3,7.999276081834778,0.0010084630701133388,0.0009602303446754043,0.011081388957884677,0.004350027457557807,99.609375,33.4533611621732
FullHierarchy,Bird_512,4,7.999302546445198,0.005246808107644183,-0.006268326962630022,-0.004175352986672324,0.005230162685648843,99.60441589355469,33.474562401865036
FullHierarchy,Bird_512,5,7.999257338298874,-0.0007160811368249202,0.0060323309331224775,0.0009466923353543567,0.0025650348017672514,99.61128234863281,33.457659054425804
FullHierarchy,Bird_512,6,7.9993296775601905,-0.00359624541465649,0.014472660686128265,-0.006229696582609916,0.008099534227798223,99.62183634440105,33.53108574362363
FullHierarchy,Bird_512,7,7.999279186421887,-0.001902595626355064,0.0033691303453136667,-0.003875593785350627,0.003049106585673119,99.60594177246094,33.40401244319342
FullHierarchy,Bird_512,8,7.9993176725263595,0.004955579783559885,0.004868237669899273,-0.00013117858110437992,0.0033183320115211788,99.60734049479167,33.45743715373519
FullHierarchy,Bird_512,9,7.99926342015608,0.0033167878993946285,0.005001962114453948,0.0014619693876770194,0.003260239800508532,99.60975646972656,33.47671359193092
FullHierarchy,Bird_512,10,7.999294517135469,-0.0031207158124486605,0.009366893366700036,0.0023577863723797253,0.004948465183842807,99.6228535970052,33.472676495321444
FullHierarchy,Mountain_512,1,7.999274289667255,-0.01204179407902855,-0.00020951881475897842,-0.003001865253906201,0.00508439271589791,99.61191813151042,33.366449892131335
FullHierarchy,Mountain_512,2,7.9993213654748,0.009960212428254274,-0.009755754538086123,0.005286032272624499,0.008333999746321633,99.60823059082031,33.4851862090865
FullHierarchy,Mountain_512,3,7.999260282612138,-0.009345522981036183,-0.0029666421565909926,-0.0008292845837582375,0.004380483240461804,99.61039225260417,33.44706466774535
FullHierarchy,Mountain_512,4,7.999265114732246,0.0015405690472855536,-0.00027719931799395175,-0.007130423487480318,0.0029827306175866076,99.60301717122395,33.39084400850184
FullHierarchy,Mountain_512,5,7.999241628920589,-0.010077853846975526,-0.007465581899951606,0.013333982358786875,0.010292472701904668,99.6203104654948,33.47340851827385
FullHierarchy,Mountain_512,6,7.999298038356038,0.000674215911098388,0.010443524383429832,0.012979026555628005,0.008032255616718742,99.60962931315105,33.44616459865196
FullHierarchy,Mountain_512,7,7.999247834226995,-0.010737920191314329,-0.014497978013945511,-0.011091315160385098,0.012109071121881648,99.60085550944011,33.51467955346201
FullHierarchy,Mountain_512,8,7.9992707517245805,0.0018537563202767782,-0.0027082083729645366,0.003942791347185287,0.0028349186801422004,99.6063232421875,33.422878489774824
