image,keyIdx,entropy_avg,r_avg,NPCR_pct,UACI_pct
Airplane,1,7.999270194218679,0.003443619858230464,99.60378011067708,33.47000022339665
Airplane,2,7.999296728070465,0.005608088788316478,99.61522420247395,33.373413584590736
Airplane,3,7.999251466672898,0.005026902427606946,99.62743123372395,33.49870918622983
Airplane,4,7.999295811842963,0.0012245476682038751,99.6172587076823,33.432068170285696
Airplane,5,7.999337216604796,0.00641921709657025,99.60543314615886,33.44342400045956
Airplane,6,7.99930311140984,0.005679061629288663,99.609375,33.50185070162505
Airplane,7,7.999268014086987,0.005102033425446868,99.58610534667969,33.38976143232358
Airplane,8,7.999308486851857,0.005655725684877665,99.60861206054688,33.38251999001098
Airplane,9,7.999285542264527,0.002992777878864042,99.70143636067708,33.079265519684434
Airplane,10,7.999306699660927,0.0057742090974942225,99.60962931315105,33.49372215520323
Baboon,1,7.999336438930456,0.004266282356732246,99.6246337890625,33.48229102839052
Baboon,2,7.999323065739934,0.0054806388456765396,99.57021077473958,33.56480617149204
Baboon,3,7.9993054933488095,0.0033298447350403153,99.6203104654948,33.438087413513585
Baboon,4,7.999336470167388,0.004704006956651998,99.6045430501302,33.43559963251251
Baboon,5,7.999265573622942,0.00455497095558265,99.58966573079427,33.51657144384446
Baboon,6,7.999290700572961,0.00833197518277439,99.62577819824219,33.422563839582054
Baboon,7,7.999305218060143,0.00466243816892917,99.61624145507812,33.450050603330524
Baboon,8,7.999332044882894,0.00654470130017067,99.57618713378906,33.46182779548994
Baboon,9,7.999256118001372,0.00438507251211891,99.60365295410156,33.84680305431092
Baboon,10,7.999324866906288,0.0021494598158922932,99.60873921712239,33.503731621636284
Barbara,1,7.999267927126957,0.0025429382731223774,99.59500630696614,33.504605760761336
Barbara,2,7.999269184163936,0.0025674245143924323,99.59691365559895,33.48284802405663
Barbara,3,7.999264612436782,0.003973281043300621,99.58559672037761,33.49129520989711
Barbara,4,7.999292721228076,0.0015856598682634495,99.6142069498698,33.466077318378524
Barbara,5,7.999333430083179,0.0037785142970504777,99.60238138834636,33.52851817810458
Barbara,6,7.999269200029016,0.002213166895400867,99.61039225260417,33.50689158720129
Barbara,7,7.999296119544421,0.00549106965743188,99.62361653645833,33.48873861474929
Barbara,8,7.999302484001192,0.004376906549517552,99.62272644042969,33.396693709629034
Barbara,9,7.999276882263863,0.0017132625227222309,99.48336283365886,32.967880348754086
Barbara,10,7.999335898400825,0.006977652554924082,99.60072835286458,33.46247454873877
Boats,1,7.999269120979846,0.0027500452803659627,99.64803059895833,33.57887816584967
Boats,2,7.999283637882864,0.006522771244118643,99.5801289876302,33.39826745924607
Boats,3,7.999324605370609,0.002318459720871383,99.58165486653645,33.46397898555581
Boats,4,7.99927240973313,0.0049082736670387995,99.59920247395833,33.52232191297743
Boats,5,7.9993134939817665,0.006785562143848847,99.62806701660156,33.49190755607256
Boats,6,7.999335924663403,0.009705171874943972,99.59818522135417,33.49009345559513
Boats,7,7.999374581384909,0.002675876612497751,99.62310791015625,33.43817667244306
Boats,8,7.999326636106425,0.0063354295516448765,99.61992899576823,33.40656255584916
Boats,9,7.999373064459358,0.005447033651156477,99.43796793619792,33.01240110708997
Boats,10,7.999268043247376,0.00426352584911167,99.61293538411458,33.47948909584993
House,1,7.999342441303878,0.007740444023666333,99.5867411295573,33.47245658924377
House,2,7.999308527840365,0.004207064932554745,99.63785807291667,33.531837712705524
House,3,7.99934975194591,0.00543908938767921,99.59729512532552,33.44695745729933
House,4,7.999252389080233,0.004987332808274236,99.61280822753906,33.448745627808414
House,5,7.99931988504612,0.006266718370249402,99.59004720052083,33.45228756175322
House,6,7.999307432420202,0.003294242055627532,99.61217244466145,33.44167123433032
House,7,7.999230483455289,0.0058024421231918505,99.61039225260417,33.46986309375638
House,8,7.9993399543614006,0.005652827458143499,99.63264465332031,33.49850623436223
House,9,7.99930694867352,0.004270185112097259,99.58763122558594,33.433955074135774
House,10,7.999381175736491,0.00566228955498104,99.61573282877605,33.50193447536893
Lena,1,7.999308944216765,0.01281637419712156,99.62348937988281,33.48353367225796
Lena,2,7.999256796038253,0.007625571164905874,99.60276285807292,33.34321265127144
Lena,3,7.99935578384397,0.008072022623461914,99.62450663248698,33.40031692405152
Lena,4,7.9992287122998205,0.0023543344372076447,99.60009256998698,33.450647491255616
Lena,5,7.999274314314724,0.004246236178051601,99.59602355957031,33.49335464776731
