image,run_index,encrypt_ms,decrypt_ms
Tiffany,9,243.448,242.542
Tiffany,10,262.231,251.171
Tiffany,11,256.403,258.314
Tiffany,12,261.355,260.693
Tiffany,13,257.489,253.838
Tiffany,14,284.813,268.874
Tiffany,15,262.499,259.006
Tiffany,16,269.593,249.428
Tiffany,17,244.588,255.235
Tiffany,18,256.360,258.256
Tiffany,19,251.159,247.043
