image,keyIdx,entropy_avg,r_avg,NPCR_pct,UACI_pct
Airplane,1,7.999292902163444,0.002508113015525127,99.60378011067708,33.47259421753728
Airplane,2,7.999253186605945,0.0024619204106237536,99.61573282877605,33.503058938419116
Airplane,3,7.9993224767946245,0.004956578591068938,99.6233622233073,33.44989253025429
Airplane,4,7.999311778630623,0.004474704530219098,99.61217244466145,33.44612271178003
Airplane,5,7.999289470398076,0.005297177451016634,99.6019999186198,33.48042456932317
Airplane,6,7.999323757190268,0.006081614352251138,99.61204528808594,33.4560189839282
Airplane,7,7.999360221751144,0.006114267045359921,99.59348042805989,33.49626428940717
Airplane,8,7.999343823844604,0.0015960616746500938,99.61814880371094,33.46943923850465
Airplane,9,7.999332716177029,0.0028728555463318046,99.5984395345052,33.42375811408548
Airplane,10,7.9992790101991105,0.004389643938739013,99.60314432779948,33.43491847219031
Baboon,1,7.999355015203274,0.0028669542399712956,99.60390726725261,33.464078716203275
Baboon,2,7.99923958621509,0.00491985940900121,99.61446126302083,33.44158496732026
Baboon,3,7.99926520144921,0.004497265682233143,99.60619608561198,33.477862488989736
Baboon,4,7.999289832013196,0.004323142342512533,99.61535135904948,33.457289053723706
Baboon,5,7.999252797800932,0.0050387209433960896,99.60784912109375,33.48735933989481
Baboon,6,7.999357979248848,0.003033135508029951,99.61013793945312,33.44920638339971
Baboon,7,7.999254113593868,0.001997291407040014,99.6081034342448,33.44547446257149
Baboon,8,7.9992597461698525,0.002960022100955268,99.60110982259114,33.468717188616985
Baboon,9,7.999335520372585,0.005439846768692803,99.61433410644531,33.48549687005336
Baboon,10,7.999256975867297,0.003513563399828002,99.60441589355469,33.458628934972424
Barbara,1,7.999271107039477,0.006707653527353055,99.60441589355469,33.46603144228069
Barbara,2,7.999344137717801,0.0036852612886376715,99.60886637369792,33.49668415543301
Barbara,3,7.9992408463503475,0.0022392428267094724,99.59335327148438,33.44529843797871
Barbara,4,7.999315990446225,0.006319083323857254,99.60950215657552,33.47416796715431
Barbara,5,7.999360658638575,0.008341897079850745,99.60772196451823,33.46665027094822
Barbara,6,7.999302580289583,0.0031258333348090223,99.6142069498698,33.4356155894161
Barbara,7,7.9992882082120245,0.0025795801748189104,99.61204528808594,33.44986909355213
Barbara,8,7.99928501435149,0.00326108664045867,99.61458841959636,33.40749952528212
Barbara,9,7.999273982664268,0.00265319995726034,99.609375,33.46943026274637
Barbara,10,7.999287404879264,0.004300593773528167,99.6063232421875,33.43337863099341
Boats,1,7.999345623442614,0.003251608686188224,99.61077372233073,33.46024307550169
Boats,2,7.999225100975514,0.005484896679989551,99.60530598958333,33.44720129873238
Boats,3,7.999357327932955,0.003987534486157469,99.61357116699219,33.50214839760774
Boats,4,7.999287299748961,0.0014304444700307983,99.61128234863281,33.43270295585682
Boats,5,7.99932258555522,0.0068844759071790265,99.60746765136719,33.49216087191713
Boats,6,7.999315012850947,0.005928288730333848,99.61446126302083,33.47350874757455
Boats,7,7.9992874255375055,0.001062460661263381,99.59793090820312,33.47781013039982
Boats,8,7.999316651871638,0.002358846158728514,99.61649576822917,33.439622268178105
Boats,9,7.999331468651242,0.004562828975965912,99.60924784342448,33.47768197651782
Boats,10,7.999237885122657,0.005109312171060197,99.59360758463542,33.46169066584967
House,1,7.999276084817162,0.0035315044006895085,99.60695902506511,33.46593370624617
House,2,7.999310116609403,0.0005031631901088704,99.60352579752605,33.492614147709865
House,3,7.999295000506301,0.004781790300430837,99.60174560546875,33.46098557017208
House,4,7.999259991212086,0.00611391112816321,99.60721333821614,33.43402987212137
House,5,7.999227900667311,0.0055014417061350915,99.61395263671875,33.44956940295649
House,6,7.999277912588043,0.0059244268293835965,99.6081034342448,33.44370972876455
House,7,7.9992953480845115,0.006447097597829465,99.60823059082031,33.39838663736979
House,8,7.999296910437685,0.008058465041501608,99.60123697916667,33.45009099424275
House,9,7.999249351438993,0.004394804834200967,99.6203104654948,33.50291831820619
House,10,7.999297031165059,0.00528099408742268,99.59920247395833,33.46469156103196
Lena,1,7.999225665734433,0.0049973164034673315,99.6075948079427,33.4293704562717
Lena,2,7.999270033621947,0.003372750852591689,99.60975646972656,33.468752592996836
Lena,3,7.99929956418656,0.003436128963200185,99.61331685384114,33.45731548234528
Lena,4,7.999285172959972,0.004258797818777297,99.61382548014323,33.45589382196564
Lena,5,7.99934156192511,0.004975230172593696,99.6124267578125,33.519339966618155
Lena,6,7.999310764153409,0.005506495523379426,99.60009256998698,33.434385411879596
Lena,7,7.9993408460917825,0.004022428888257276,99.60899353027344,33.47885730219822
Lena,8,7.999354576318148,0.009569092267447,99.61903889973958,33.506838729958126
Lena,9,7.999251328658597,0.007408386532248432,99.61598714192708,33.49648569144455
Lena,10,7.999288914002304,0.003682299468121835,99.62272644042969,33.48338208167382
Monarch,1,7.999280848351083,0.0038653892823034956,99.59831237792969,33.44515582315283
Monarch,2,7.999255519450876,0.002851787543121599,99.60556030273438,33.41303706948274
Monarch,3,7.999291956430306,0.005044582772908862,99.60746765136719,33.4096148123149
Monarch,4,7.9993643964606065,0.006079594793785934,99.60530598958333,33.465818517348346
Monarch,5,7.999317833276176,0.0028771743128582785,99.61458841959636,33.49586885738996
Monarch,6,7.999308331538386,0.0034106141664206687,99.61179097493489,33.46846686469184
Monarch,7,7.99924732367561,0.0011103215273839378,99.61280822753906,33.46529193952972
Monarch,8,7.999309735764183,0.001571047622226733,99.60301717122395,33.44113518210018
Monarch,9,7.999276388093592,0.004740556645229233,99.6075948079427,33.458295834609885
Monarch,10,7.999291780974732,0.0020108944919068968,99.6075948079427,33.48808338439542
Pepper,1,7.999300417999777,0.0040391767872084,99.61013793945312,33.476172553168404
Pepper,2,7.999354014767032,0.00378274524052134,99.61229960123698,33.42997282938241
Pepper,3,7.999291052826759,0.004842347499573842,99.61496988932292,33.47612318649791
Pepper,4,7.999257631430656,0.005889769341753314,99.61128234863281,33.491609860089866
Pepper,5,7.999279812960585,0.007003847609051444,99.61407979329427,33.434123618929995
Pepper,6,7.999294584920584,0.002681931060102953,99.60772196451823,33.40124092850031
Pepper,7,7.999283075854675,0.005994127954469533,99.60339864095052,33.42273388033599
Pepper,8,7.9993361824097065,0.006008084590259877,99.60721333821614,33.47372017654718
Pepper,9,7.999250597788351,0.004716300973139159,99.61395263671875,33.47857755773208
Pepper,10,7.999259320475383,0.0032284024698173625,99.60619608561198,33.45531688017004
Sailboat,1,7.999285336328085,0.00707172810875593,99.60912068684895,33.44681583977992
Sailboat,2,7.999313702913564,0.004048678639670692,99.60975646972656,33.47421533921186
Sailboat,3,7.999381045835303,0.009201677051948657,99.60695902506511,33.46334868786382
Sailboat,4,7.9992493195604295,0.0022219994984633354,99.61395263671875,33.50218230602788
Sailboat,5,7.999352174305593,0.00384635590363467,99.60250854492188,33.43214546153748
Sailboat,6,7.999315639201833,0.0030455000522782195,99.60289001464844,33.47173753127553
Sailboat,7,7.999291653925006,0.004721225284292196,99.59665934244792,33.467030244715076
Sailboat,8,7.999386691688566,0.006457829864052051,99.62247212727864,33.46334070941202
Sailboat,9,7.999367770759484,0.008411339338007895,99.6014912923177,33.49502513611239
Sailboat,10,7.999283984970252,0.007398843728826682,99.61865743001302,33.457415711645986
Tiffany,1,7.999281652542571,0.0023723715529957393,99.60441589355469,33.37445626851001
Tiffany,2,7.999257829543967,0.009102392049780788,99.61407979329427,33.44610226699729
Tiffany,3,7.999285922591098,0.0013696352664925402,99.60823059082031,33.47646177204606
Tiffany,4,7.9993380962776754,0.005572270445346954,99.59869384765625,33.46637102513532
