image,run,encSec,decSec
monarch_512x512.bmp,1,0.287588151,0.288441255
monarch_512x512.bmp,2,0.290167422,0.293887859
monarch_512x512.bmp,3,0.294615889,0.303189517
monarch_512x512.bmp,4,0.305090068,0.300370267
monarch_512x512.bmp,5,0.300965565,0.295859109
monarch_512x512.bmp,6,0.2931893,0.302241319
monarch_512x512.bmp,7,0.30328573,0.303066047
monarch_512x512.bmp,8,0.297994132,0.31203401
monarch_512x512.bmp,9,0.297417662,0.310377407
monarch_512x512.bmp,10,0.29689623,0.299183833
monarch_512x512.bmp,11,0.292191951,0.297227039
monarch_512x512.bmp,12,0.289385359,0.303141463
monarch_512x512.bmp,13,0.295713592,0.291719748
monarch_512x512.bmp,14,0.287979109,0.289400321
monarch_512x512.bmp,15,0.288144742,0.297304791
monarch_512x512.bmp,16,0.288311407,0.29202479
monarch_512x512.bmp,17,0.289341934,0.299291943
monarch_512x512.bmp,18,0.290357538,0.299450812
monarch_512x512.bmp,19,0.304433746,0.296567684
pepper.bmp,0,0.315445881,0.30077561
pepper.bmp,1,0.298229564,0.305629993
pepper.bmp,2,0.305373431,0.308850448
pepper.bmp,3,0.301188194,0.305207857
pepper.bmp,4,0.297557707,0.307601962
pepper.bmp,5,0.296815545,0.306500104
pepper.bmp,6,0.301076194,0.30126401
pepper.bmp,7,0.296265356,0.358487403
pepper.bmp,8,0.302423563,0.312362715
pepper.bmp,9,0.301659176,0.311415433
pepper.bmp,10,0.307829721,0.301506425
pepper.bmp,11,0.31969021,0.305169208
pepper.bmp,12,0.292640907,0.314487191
pepper.bmp,13,0.296672711,0.294752192
pepper.bmp,14,0.295105092,0.316985553
pepper.bmp,15,0.313835045,0.304044874
pepper.bmp,16,0.292347642,0.297703963
pepper.bmp,17,0.293614019,0.308166322
pepper.bmp,18,0.29307047,0.305003057
pepper.bmp,19,0.296997239,0.308363682
sailboat.bmp,0,0.330932839,0.344240161
sailboat.bmp,1,0.339454968,0.3341677
sailboat.bmp,2,0.309641914,0.33766224
sailboat.bmp,3,0.339412089,0.314340684
sailboat.bmp,4,0.320349057,0.326194297
sailboat.bmp,5,0.315726247,0.326351987
sailboat.bmp,6,0.324952033,0.33972503
sailboat.bmp,7,0.334501092,0.340854548
sailboat.bmp,8,0.326687322,0.337794118
sailboat.bmp,9,0.33733047,0.317118866
sailboat.bmp,10,0.290027154,0.296658332
sailboat.bmp,11,0.287117463,0.298663411
sailboat.bmp,12,0.295553425,0.302074675
sailboat.bmp,13,0.297212461,0.303425012
sailboat.bmp,14,0.288489885,0.288404183
sailboat.bmp,15,0.291108535,0.290637532
sailboat.bmp,16,0.289513277,0.305357534
sailboat.bmp,17,0.292709392,0.297823494
sailboat.bmp,18,0.289343955,0.295401667
sailboat.bmp,19,0.289640821,0.312929802
tiffany.bmp,0,0.292018537,0.296329501
tiffany.bmp,1,0.29422869,0.294615649
tiffany.bmp,2,0.299223426,0.297050167
tiffany.bmp,3,0.303119992,0.307865194
tiffany.bmp,4,0.299150065,0.296272079
tiffany.bmp,5,0.298001875,0.296656483
tiffany.bmp,6,0.30068179,0.311827066
