config,image,keyIdx,entropy,r_avg,npcr,uaci
FinalPool,Bird_512,1,7.999301658232246,0.008425517872728881,99.6050516764323,33.46579707525914
FinalPool,Bird_512,2,7.999271893050353,0.0045862367205892485,99.60962931315105,33.43673207401451
FinalPool,Bird_512,3,7.999276081834778,0.007244593893055953,99.609375,33.4533611621732
FinalPool,Bird_512,4,7.999302546445198,0.0031778295015499436,99.60441589355469,33.474562401865036
FinalPool,Bird_512,5,7.999257338298874,0.003426714960203393,99.61128234863281,33.457659054425804
FinalPool,Bird_512,6,7.9993296775601905,0.004998911784177591,99.62183634440105,33.53108574362363
FinalPool,Bird_512,7,7.999279186421887,0.005980356471374206,99.60594177246094,33.40401244319342
FinalPool,Bird_512,8,7.9993176725263595,0.0021452578666506083,99.60734049479167,33.45743715373519
FinalPool,Bird_512,9,7.99926342015608,0.003067411446865663,99.60975646972656,33.47671359193092
FinalPool,Bird_512,10,7.999294517135469,0.0026096304755488194,99.6228535970052,33.472676495321444
FinalPool,Mountain_512,1,7.999274289667255,0.006000911872755109,99.61191813151042,33.366449892131335
FinalPool,Mountain_512,2,7.9993213654748,0.00502684751979599,99.60823059082031,33.4851862090865
FinalPool,Mountain_512,3,7.999260282612138,0.0006961533822374363,99.61039225260417,33.44706466774535
FinalPool,Mountain_512,4,7.999265114732246,0.00817345410320905,99.60301717122395,33.39084400850184
FinalPool,Mountain_512,5,7.999241628920589,0.004822596761265659,99.6203104654948,33.47340851827385
FinalPool,Mountain_512,6,7.999298038356038,0.003829166367119427,99.60962931315105,33.44616459865196
FinalPool,Mountain_512,7,7.999247834226995,0.0016273271162097391,99.60085550944011,33.51467955346201
FinalPool,Mountain_512,8,7.9992707517245805,0.006007075409031673,99.6063232421875,33.422878489774824
FinalPool,Mountain_512,9,7.999278336279018,0.010311841051429939,99.61280822753906,33.53489744896982
FinalPool,Mountain_512,10,7.999284801154921,0.005954932024277447,99.61433410644531,33.443000145207826
FinalPool,Pepper_512,1,7.999297199739348,0.005216164574227457,99.59576924641927,33.486209944182754
FinalPool,Pepper_512,2,7.999238969462563,0.003780217129088347,99.60619608561198,33.457411223766854
FinalPool,Pepper_512,3,7.999290919467977,0.00801367815265965,99.61153666178386,33.465100955339814
FinalPool,Pepper_512,4,7.999208291330043,0.0026457778936194477,99.60784912109375,33.45623988731234
FinalPool,Pepper_512,5,7.999248656351128,0.002062019295428139,99.60962931315105,33.44012690525429
FinalPool,Pepper_512,6,7.9992937048108255,0.004365068424407827,99.61751302083333,33.45929713031045
FinalPool,Pepper_512,7,7.999263783828734,0.002631688256600958,99.6063232421875,33.45655802807777
FinalPool,Pepper_512,8,7.999349765224127,0.005622400580576318,99.61229960123698,33.48141240138633
FinalPool,Pepper_512,9,7.999241983023144,0.0036924520150129667,99.60721333821614,33.44900592479831
FinalPool,Pepper_512,10,7.99927682536141,0.004523854984971977,99.60873921712239,33.427978216433054
SingleRule30,Bird_512,1,7.999388712749076,0.0032640242545423173,99.60772196451823,33.44983568378523
SingleRule30,Bird_512,2,7.9992961187543985,0.007142541678639355,99.60683186848958,33.4417136198555
SingleRule30,Bird_512,3,7.999284340769385,0.003664429733551413,99.61204528808594,33.48629920311223
SingleRule30,Bird_512,4,7.999333049970393,0.006540872132500593,99.60187276204427,33.419525046753726
SingleRule30,Bird_512,5,7.999316315374639,0.006135578595759157,99.61306254069011,33.47558663561453
SingleRule30,Bird_512,6,7.999353575292588,0.004781226139413198,99.60950215657552,33.48896649927875
SingleRule30,Bird_512,7,7.999294324034696,0.002879985640887888,99.60492451985677,33.48094616060942
SingleRule30,Bird_512,8,7.999257509070513,0.005894129701658369,99.60263570149739,33.47247454076032
SingleRule30,Bird_512,9,7.999240713298092,0.0023177743800105225,99.60136413574219,33.435380723741325
SingleRule30,Bird_512,10,7.999302944311424,0.006583091526893587,99.60721333821614,33.45626781189364
SingleRule30,Mountain_512,1,7.9993310823617145,0.0021975123687863964,99.61128234863281,33.47173952588848
SingleRule30,Mountain_512,2,7.999239029140749,0.004444757155997971,99.61026509602864,33.46169664968852
SingleRule30,Mountain_512,3,7.999250450817253,0.0041007672277590815,99.6063232421875,33.50330228119894
SingleRule30,Mountain_512,4,7.999278120339558,0.004414628951688918,99.62272644042969,33.46183228336908
SingleRule30,Mountain_512,5,7.999366975670289,0.004944639161279008,99.59742228190105,33.38962978786893
SingleRule30,Mountain_512,6,7.999247773946105,0.005431635624718945,99.60708618164062,33.47945419012331
SingleRule30,Mountain_512,7,7.9993406721769915,0.003990933818672826,99.60861206054688,33.435579686383015
SingleRule30,Mountain_512,8,7.999285304928069,0.006709521015687263,99.6111551920573,33.39714249754264
SingleRule30,Mountain_512,9,7.999301294748342,0.0065299604152940895,99.59449768066406,33.491224899790645
SingleRule30,Mountain_512,10,7.999273055188735,0.006064835837881889,99.60899353027344,33.43160292681526
SingleRule30,Pepper_512,1,7.999279536274924,0.003406624240881702,99.61573282877605,33.441225936989376
SingleRule30,Pepper_512,2,7.999276907780996,0.0006099908520031082,99.62247212727864,33.47538817162607
SingleRule30,Pepper_512,3,7.999324154970767,0.004093095811918627,99.60352579752605,33.472241669698484
SingleRule30,Pepper_512,4,7.999245966479982,0.0077759400408031615,99.6246337890625,33.44842898300271
SingleRule30,Pepper_512,5,7.999251093167529,0.0008038742428621747,99.61700439453125,33.436945497600085
SingleRule30,Pepper_512,6,7.999323711635744,0.010465717276588073,99.60734049479167,33.445577185138376
SingleRule30,Pepper_512,7,7.999314611048832,0.0013808426824787412,99.60390726725261,33.423048530528746
SingleRule30,Pepper_512,8,7.99924759703033,0.004755448992489649,99.62107340494792,33.418361190097784
SingleRule30,Pepper_512,9,7.999327714753892,0.00826704227428459,99.61776733398438,33.42889972761566
SingleRule30,Pepper_512,10,7.999258009377474,0.007337564487285084,99.60797627766927,33.51081199895322
RandomAlt,Bird_512,1,7.999307465498848,0.002131713492893226,99.6045430501302,33.47062403859656
RandomAlt,Bird_512,2,7.999329052350003,0.004021014430029022,99.60174560546875,33.46302705652574
RandomAlt,Bird_512,3,7.9993186770571505,0.003837457850713584,99.61306254069011,33.47761216506459
RandomAlt,Bird_512,4,7.999274390850026,0.006689070748916191,99.60556030273438,33.47640243231081
RandomAlt,Bird_512,5,7.999298859818865,0.007324679211447942,99.60416158040364,33.42779421338848
RandomAlt,Bird_512,6,7.999262019413986,0.006975807744843076,99.61535135904948,33.43733993231081
RandomAlt,Bird_512,7,7.999334085371285,0.0027647327116121292,99.60823059082031,33.4340822307113
RandomAlt,Bird_512,8,7.999212110025945,0.0065910450954124455,99.5989481608073,33.41950659658394
RandomAlt,Bird_512,9,7.999285194475493,0.007431799366797809,99.60238138834636,33.49579007017846
RandomAlt,Bird_512,10,7.999326831620855,0.0054666066675344745,99.60161844889323,33.46044552871604
RandomAlt,Mountain_512,1,7.999311159551482,0.002204558793078791,99.60556030273438,33.450176762599575
RandomAlt,Mountain_512,2,7.999273778002876,0.006539891874050973,99.61268107096355,33.47312229131561
RandomAlt,Mountain_512,3,7.999296418741134,0.005310865345177585,99.59602355957031,33.471587935304335
RandomAlt,Mountain_512,4,7.999320026185747,0.006879772951171343,99.60060119628906,33.45508899564058
RandomAlt,Mountain_512,5,7.999324533439044,0.0038921020200542865,99.591064453125,33.448290357402726
RandomAlt,Mountain_512,6,7.999294503487274,0.004260553686613873,99.61687723795573,33.45808340833078
RandomAlt,Mountain_512,7,7.999346332925207,0.004401162569296337,99.61077372233073,33.44345890618617
RandomAlt,Mountain_512,8,7.9992714249544745,0.008759483185327538,99.61039225260417,33.42375562081929
RandomAlt,Mountain_512,9,7.999254551732015,0.006382761237218559,99.60428873697917,33.44297371658624
RandomAlt,Mountain_512,10,7.9993425613543705,0.0033856836990815895,99.62437947591145,33.52891510608149
RandomAlt,Pepper_512,1,7.999267965376269,0.007425885449609011,99.60556030273438,33.43557619581036
RandomAlt,Pepper_512,2,7.999335434621652,0.007832009634954402,99.61077372233073,33.456282771490756
RandomAlt,Pepper_512,3,7.999345540691851,0.004003909903557856,99.6172587076823,33.49771736494077
RandomAlt,Pepper_512,4,7.999305377966898,0.0032891911400762842,99.61560567220052,33.4735162273731
RandomAlt,Pepper_512,5,7.999247935070378,0.00436756026735012,99.60467020670573,33.4979661929062
RandomAlt,Pepper_512,6,7.999349395040773,0.007603626410123312,99.60924784342448,33.48289888668683
