image,rd,keyIdx,encSec,entropy,rH,rV,rD,r_avg,npcr,uaci
Bird_512,1,1,0.124792014,7.999337961100369,0.004001788037099523,-0.004066498271572817,0.004593503951994198,0.004220596753555513,97.35883076985677,32.716722176745044
Bird_512,1,2,0.138988279,7.9992871269647985,-0.003001282874740377,-0.003129651671350791,0.007841202615825561,0.004657379053972243,98.53986104329427,33.08438469381893
Bird_512,1,3,0.14272435,7.999373394982238,0.00040571826110991316,-0.0009340150151800466,0.006449837328299671,0.0025965235348632105,63.92084757486979,21.452460195503985
Bird_512,1,4,0.120740499,7.999294018022499,-0.013395189904172567,0.002628243883742033,-0.005380529947755383,0.007134654578556661,90.07771809895833,30.232850118400226
Bird_512,1,5,0.122297092,7.999274348330567,-0.003268233729693195,-0.010212086362496866,0.0028152890813965335,0.0054318697245288655,51.65227254231771,17.38187104268791
Bird_512,1,6,0.136433459,7.999260125814196,0.011505515693407062,-0.006325780463344552,0.00786926833183463,0.008566854829528748,92.73885091145833,31.14945804371553
Bird_512,1,7,0.133581954,7.999259038784058,0.002613860930441547,-0.0021887375512892036,0.004701499496244912,0.0031680326593252206,12.619272867838541,4.226109623129851
Bird_512,1,8,0.125429131,7.999257666215384,-0.007120176374514204,0.010117431556373105,-0.007112659324403856,0.008116755751763722,32.28441874186198,10.854562996259702
Bird_512,1,9,0.132318902,7.999317609292585,0.003979164739885371,0.005290726813679009,-0.0017827672262587316,0.003684219593274371,33.29594930013021,11.194677913890166
Bird_512,1,10,0.140152219,7.999304848243031,0.005123295048946844,0.0022981551595342583,-0.0029951212831770286,0.0034721904972193768,16.06305440266927,5.395437502393535
Bird_512,2,1,0.19238341,7.999323755519391,0.003097919652932613,-0.004048547589465111,0.004270790385134219,0.003805752542510648,99.60238138834636,33.49324594136157
Bird_512,2,2,0.299473664,7.9992817711679125,0.00013038156096016173,-0.00048401484855076053,-0.00042696667596269926,0.00034712102849120715,99.60060119628906,33.46755133734809
Bird_512,2,3,0.192097037,7.999318481915026,0.0050682522377619625,-3.7435574221624836e-05,0.011954547181642483,0.005686744997875357,99.60950215657552,33.39080361758962
